instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,year,month,day,day_of_week,hour_of_day,season_name,weather_condition,casual_pct,registered_pct,usage_level,user_cluster,weather_group,behavior_cluster,demand_level,rush_category,TimeCluster
1,2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,2011,1,1,Saturday,0,Spring,Cerah,18.75,81.25,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
13,2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,2011,1,1,Saturday,12,Spring,Cerah,34.523809523809526,65.47619047619048,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Non-Rush Hour,Leisure Time
14,2011-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,2011,1,1,Saturday,13,Spring,Berawan,50.0,50.0,Medium,Balanced,Good Weather,Medium | Balanced | Good Weather,Medium,Non-Rush Hour,Leisure Time
15,2011-01-01,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,2011,1,1,Saturday,14,Spring,Berawan,33.0188679245283,66.98113207547169,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Non-Rush Hour,Leisure Time
16,2011-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,2011,1,1,Saturday,15,Spring,Berawan,36.36363636363637,63.63636363636363,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Non-Rush Hour,Leisure Time
17,2011-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,2011,1,1,Saturday,16,Spring,Berawan,44.086021505376344,55.91397849462365,Medium,Balanced,Good Weather,Medium | Balanced | Good Weather,Medium,Non-Rush Hour,Leisure Time
18,2011-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,2011,1,1,Saturday,17,Spring,Berawan,22.388059701492537,77.61194029850746,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Rush Hour,Commute Time
19,2011-01-01,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,2011,1,1,Saturday,18,Spring,Hujan Ringan,25.71428571428571,74.28571428571429,Low,Registered Dominant,Bad Weather,Low | Registered Dominant | Bad Weather,Low,Rush Hour,Commute Time
20,2011-01-01,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,2011,1,1,Saturday,19,Spring,Hujan Ringan,16.216216216216218,83.78378378378379,Low,Registered Dominant,Bad Weather,Low | Registered Dominant | Bad Weather,Low,Rush Hour,Commute Time
21,2011-01-01,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,2011,1,1,Saturday,20,Spring,Berawan,30.555555555555557,69.44444444444444,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
22,2011-01-01,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,2011,1,1,Saturday,21,Spring,Berawan,8.823529411764707,91.17647058823529,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
23,2011-01-01,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,2011,1,1,Saturday,22,Spring,Berawan,39.285714285714285,60.71428571428571,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
24,2011-01-01,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,2011,1,1,Saturday,23,Spring,Berawan,38.46153846153847,61.53846153846154,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
25,2011-01-02,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,2011,1,2,Sunday,0,Spring,Berawan,23.52941176470588,76.47058823529412,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
26,2011-01-02,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,2011,1,2,Sunday,1,Spring,Berawan,5.88235294117647,94.11764705882352,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
27,2011-01-02,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,2011,1,2,Sunday,2,Spring,Berawan,11.11111111111111,88.88888888888889,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
28,2011-01-02,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,2011,1,2,Sunday,3,Spring,Berawan,33.33333333333333,66.66666666666666,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
29,2011-01-02,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,2011,1,2,Sunday,4,Spring,Berawan,66.66666666666666,33.33333333333333,Low,Casual Dominant,Good Weather,Low | Casual Dominant | Good Weather,Low,Non-Rush Hour,Off Time
30,2011-01-02,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,2011,1,2,Sunday,6,Spring,Hujan Ringan,0.0,100.0,Low,Registered Dominant,Bad Weather,Low | Registered Dominant | Bad Weather,Low,Non-Rush Hour,Off Time
31,2011-01-02,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,2011,1,2,Sunday,7,Spring,Berawan,0.0,100.0,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Rush Hour,Commute Time
32,2011-01-02,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,2011,1,2,Sunday,8,Spring,Hujan Ringan,0.0,100.0,Low,Registered Dominant,Bad Weather,Low | Registered Dominant | Bad Weather,Low,Rush Hour,Commute Time
33,2011-01-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,2011,1,2,Sunday,9,Spring,Berawan,5.0,95.0,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Rush Hour,Commute Time
34,2011-01-02,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,2011,1,2,Sunday,10,Spring,Berawan,13.20754716981132,86.79245283018868,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Leisure Time
35,2011-01-02,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,2011,1,2,Sunday,11,Spring,Berawan,22.857142857142858,77.14285714285715,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Non-Rush Hour,Leisure Time
36,2011-01-02,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,2011,1,2,Sunday,12,Spring,Berawan,21.50537634408602,78.49462365591397,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Non-Rush Hour,Leisure Time
37,2011-01-02,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,2011,1,2,Sunday,13,Spring,Berawan,14.666666666666666,85.33333333333334,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Non-Rush Hour,Leisure Time
38,2011-01-02,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,2011,1,2,Sunday,14,Spring,Hujan Ringan,6.779661016949152,93.22033898305084,Low,Registered Dominant,Bad Weather,Low | Registered Dominant | Bad Weather,Low,Non-Rush Hour,Leisure Time
39,2011-01-02,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,2011,1,2,Sunday,15,Spring,Hujan Ringan,25.675675675675674,74.32432432432432,Medium,Registered Dominant,Bad Weather,Medium | Registered Dominant | Bad Weather,Medium,Non-Rush Hour,Leisure Time
40,2011-01-02,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,2011,1,2,Sunday,16,Spring,Hujan Ringan,11.842105263157894,88.1578947368421,Medium,Registered Dominant,Bad Weather,Medium | Registered Dominant | Bad Weather,Medium,Non-Rush Hour,Leisure Time
41,2011-01-02,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,2011,1,2,Sunday,17,Spring,Cerah,10.76923076923077,89.23076923076924,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Rush Hour,Commute Time
42,2011-01-02,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,2011,1,2,Sunday,18,Spring,Berawan,18.867924528301888,81.13207547169812,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Rush Hour,Commute Time
43,2011-01-02,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,2011,1,2,Sunday,19,Spring,Cerah,3.3333333333333335,96.66666666666667,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Rush Hour,Commute Time
44,2011-01-02,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,2011,1,2,Sunday,20,Spring,Cerah,22.727272727272727,77.27272727272727,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
45,2011-01-02,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,2011,1,2,Sunday,21,Spring,Cerah,35.483870967741936,64.51612903225806,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
46,2011-01-02,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,2011,1,2,Sunday,22,Spring,Cerah,0.0,100.0,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
47,2011-01-02,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,2011,1,2,Sunday,23,Spring,Cerah,0.0,100.0,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
48,2011-01-03,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,2011,1,3,Monday,0,Spring,Cerah,0.0,100.0,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
49,2011-01-03,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,2011,1,3,Monday,1,Spring,Cerah,0.0,100.0,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
50,2011-01-03,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,2011,1,3,Monday,4,Spring,Cerah,0.0,100.0,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
51,2011-01-03,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,2011,1,3,Monday,5,Spring,Cerah,0.0,100.0,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
52,2011-01-03,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,2011,1,3,Monday,6,Spring,Cerah,0.0,100.0,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
53,2011-01-03,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,2011,1,3,Monday,7,Spring,Cerah,1.5625,98.4375,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Rush Hour,Commute Time
54,2011-01-03,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,2011,1,3,Monday,8,Spring,Cerah,0.6493506493506493,99.35064935064936,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Rush Hour,Commute Time
55,2011-01-03,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,2011,1,3,Monday,9,Spring,Cerah,7.954545454545454,92.04545454545455,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Rush Hour,Commute Time
56,2011-01-03,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,2011,1,3,Monday,10,Spring,Cerah,25.0,75.0,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Leisure Time
57,2011-01-03,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,2011,1,3,Monday,11,Spring,Cerah,19.607843137254903,80.3921568627451,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Leisure Time
58,2011-01-03,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,2011,1,3,Monday,12,Spring,Cerah,21.311475409836063,78.68852459016394,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Leisure Time
59,2011-01-03,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,2011,1,3,Monday,13,Spring,Cerah,13.114754098360656,86.88524590163934,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Leisure Time
60,2011-01-03,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,2011,1,3,Monday,14,Spring,Cerah,14.285714285714285,85.71428571428571,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Non-Rush Hour,Leisure Time
61,2011-01-03,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,2011,1,3,Monday,15,Spring,Cerah,19.444444444444446,80.55555555555556,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Non-Rush Hour,Leisure Time
62,2011-01-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,2011,1,3,Monday,16,Spring,Cerah,11.842105263157894,88.1578947368421,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Non-Rush Hour,Leisure Time
63,2011-01-03,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,2011,1,3,Monday,17,Spring,Cerah,7.006369426751593,92.99363057324841,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Rush Hour,Commute Time
64,2011-01-03,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,2011,1,3,Monday,18,Spring,Cerah,5.7324840764331215,94.26751592356688,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Rush Hour,Commute Time
65,2011-01-03,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,2011,1,3,Monday,19,Spring,Cerah,7.2727272727272725,92.72727272727272,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Rush Hour,Commute Time
66,2011-01-03,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,2011,1,3,Monday,20,Spring,Cerah,5.769230769230769,94.23076923076923,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
67,2011-01-03,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,2011,1,3,Monday,21,Spring,Cerah,5.769230769230769,94.23076923076923,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
68,2011-01-03,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,2011,1,3,Monday,22,Spring,Cerah,0.0,100.0,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
69,2011-01-03,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,2011,1,3,Monday,23,Spring,Cerah,8.333333333333332,91.66666666666666,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
70,2011-01-04,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,2011,1,4,Tuesday,0,Spring,Cerah,0.0,100.0,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
71,2011-01-04,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,2011,1,4,Tuesday,1,Spring,Cerah,0.0,100.0,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
72,2011-01-04,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,2011,1,4,Tuesday,2,Spring,Cerah,0.0,100.0,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
73,2011-01-04,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,2011,1,4,Tuesday,4,Spring,Cerah,0.0,100.0,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
74,2011-01-04,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,2011,1,4,Tuesday,5,Spring,Cerah,0.0,100.0,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
75,2011-01-04,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,2011,1,4,Tuesday,6,Spring,Cerah,0.0,100.0,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
76,2011-01-04,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,2011,1,4,Tuesday,7,Spring,Cerah,2.127659574468085,97.87234042553192,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Rush Hour,Commute Time
77,2011-01-04,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,2011,1,4,Tuesday,8,Spring,Cerah,1.1173184357541899,98.88268156424581,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Rush Hour,Commute Time
78,2011-01-04,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,2011,1,4,Tuesday,9,Spring,Cerah,2.0,98.0,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Rush Hour,Commute Time
79,2011-01-04,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,2011,1,4,Tuesday,10,Spring,Berawan,11.904761904761903,88.09523809523809,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Leisure Time
80,2011-01-04,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,2011,1,4,Tuesday,11,Spring,Cerah,12.280701754385964,87.71929824561403,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Leisure Time
81,2011-01-04,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,2011,1,4,Tuesday,12,Spring,Cerah,15.384615384615385,84.61538461538461,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Non-Rush Hour,Leisure Time
82,2011-01-04,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,2011,1,4,Tuesday,13,Spring,Cerah,18.556701030927837,81.44329896907216,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Non-Rush Hour,Leisure Time
83,2011-01-04,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,2011,1,4,Tuesday,14,Spring,Cerah,14.285714285714285,85.71428571428571,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Leisure Time
84,2011-01-04,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,2011,1,4,Tuesday,15,Spring,Cerah,26.153846153846157,73.84615384615385,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Leisure Time
85,2011-01-04,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,2011,1,4,Tuesday,16,Spring,Cerah,18.072289156626507,81.92771084337349,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Non-Rush Hour,Leisure Time
86,2011-01-04,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,2011,1,4,Tuesday,17,Spring,Cerah,4.716981132075472,95.28301886792453,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Rush Hour,Commute Time
87,2011-01-04,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,2011,1,4,Tuesday,18,Spring,Cerah,1.6483516483516485,98.35164835164835,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Rush Hour,Commute Time
88,2011-01-04,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,2011,1,4,Tuesday,19,Spring,Cerah,1.7857142857142856,98.21428571428571,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Rush Hour,Commute Time
89,2011-01-04,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,2011,1,4,Tuesday,20,Spring,Cerah,1.8518518518518516,98.14814814814815,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
90,2011-01-04,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,2011,1,4,Tuesday,21,Spring,Cerah,0.0,100.0,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
91,2011-01-04,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,2011,1,4,Tuesday,22,Spring,Cerah,2.857142857142857,97.14285714285714,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
92,2011-01-04,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,2011,1,4,Tuesday,23,Spring,Cerah,18.181818181818183,81.81818181818183,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
93,2011-01-05,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,2011,1,5,Wednesday,0,Spring,Cerah,0.0,100.0,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
94,2011-01-05,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,2011,1,5,Wednesday,1,Spring,Cerah,0.0,100.0,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
95,2011-01-05,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,2011,1,5,Wednesday,2,Spring,Cerah,0.0,100.0,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
96,2011-01-05,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,2011,1,5,Wednesday,4,Spring,Cerah,0.0,100.0,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
97,2011-01-05,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,2011,1,5,Wednesday,5,Spring,Cerah,0.0,100.0,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
98,2011-01-05,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,2011,1,5,Wednesday,6,Spring,Cerah,0.0,100.0,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
